Date,Time,LAt,Lng,AltAmsl,AltRel,Baro,Roll,Pitch,Yaw,Bat
26.09.2021,03:31:48,54.8975138,35.0155992,155.57,0.2401862,98910.59,2.03,3.19,256.84,68.4134
26.09.2021,03:31:48,54.8975137,35.0155994,155.57,0.01695432,98913.04,2.03,3.18,256.84,68.46854
26.09.2021,03:31:48,54.8975136,35.0155996,155.56,0.06216583,98912.54,2.03,3.17,256.85,68.5233
26.09.2021,03:31:48,54.8975135,35.0155999,155.57,0.02260576,98912.99,2.03,3.16,256.85,68.57834
26.09.2021,03:31:49,54.8975134,35.0156001,155.61,0.322132,98909.7,2.03,3.16,256.85,68.63275
26.09.2021,03:31:49,54.8975133,35.0156004,155.65,0.07064299,98912.46,2.03,3.15,256.85,68.68809
26.09.2021,03:31:49,54.8975132,35.0156006,155.65,0.1299831,98911.8,2.02,3.14,256.85,68.74273
26.09.2021,03:31:49,54.8975131,35.0156007,155.66,-0.04521151,98913.73,2.02,3.14,256.85,68.79761
26.09.2021,03:31:49,54.8975131,35.0156009,155.68,0.1243317,98911.87,2.01,3.13,256.85,68.93237
26.09.2021,03:31:50,54.897513,35.0156012,155.69,-0.1017259,98914.34,2,3.1,256.89,69.855
26.09.2021,03:31:50,54.8975129,35.0156014,155.69,-0.5368867,98919.1,2.02,3.19,256.85,73.5383
26.09.2021,03:31:50,54.8975129,35.0156016,155.71,-4.877192,98966.73,2.16,3.91,256.99,80.85175
26.09.2021,03:31:50,54.8975128,35.015602,155.72,-1.621963,98931.05,3.67,4.1,258.21,87.81432
26.09.2021,03:31:50,54.897513,35.0156029,155.84,0.2938748,98910.01,7.57,-5.47,245.66,92.94732
26.09.2021,03:31:51,54.8975133,35.0156041,156.11,1.322437,98898.72,6.38,-8.86,246.56,98.45256
26.09.2021,03:31:51,54.8975138,35.0156051,156.51,1.415686,98897.72,1.83,-11.25,248.43,103.8201
26.09.2021,03:31:51,54.8975147,35.0156054,156.92,2.252099,98888.55,-1.32,-8.58,249.93,108.8316
26.09.2021,03:31:51,54.8975156,35.0156049,157.35,1.901709,98892.38,-1.46,-3.26,250.84,114.1514
26.09.2021,03:31:51,54.8975162,35.0156036,157.76,2.746599,98883.13,0.29,0.52,251.4,119.5266
26.09.2021,03:31:52,54.8975166,35.0156019,158.17,3.113943,98879.08,2.72,0.54,256,125.729
26.09.2021,03:31:52,54.8975171,35.0156004,158.6,4.00687,98869.31,4.3,0.49,254.35,131.2824
26.09.2021,03:31:52,54.8975177,35.0155993,159.03,4.458985,98864.36,2.43,-0.78,252.13,134.0685
26.09.2021,03:31:52,54.8975182,35.0155984,159.48,5.487547,98853.06,0.19,0.2,250.27,140.4025
26.09.2021,03:31:52,54.8975188,35.0155978,159.96,4.665263,98862.08,-1.25,0.5,249.85,149.2206
26.09.2021,03:31:53,54.8975193,35.0155972,160.4,4.984569,98858.58,-1.51,0.81,250.5,152.0797
26.09.2021,03:31:53,54.8975197,35.0155969,160.87,5.874671,98848.83,-2.26,0.42,251.64,157.7103
26.09.2021,03:31:53,54.8975201,35.0155967,161.35,6.420035,98842.84,-3.4,0.04,252.13,163.6798
26.09.2021,03:31:53,54.8975203,35.0155965,161.83,7.728343,98828.5,-2.85,1.25,252.02,169.4847
26.09.2021,03:31:53,54.8975204,35.0155964,162.29,7.700086,98828.82,-2.29,0.4,252.2,175.4595
26.09.2021,03:31:54,54.8975202,35.0155962,162.75,8.18611,98823.51,-1.91,-0.32,252.59,181.2831
26.09.2021,03:31:54,54.8975199,35.0155959,163.19,8.287835,98822.38,-1.39,-0.92,252.98,187.0922
26.09.2021,03:31:54,54.8975196,35.0155958,163.66,9.553758,98808.51,-1.53,-0.8,253.12,192.639
26.09.2021,03:31:54,54.8975194,35.0155959,164.12,10.18672,98801.59,-0.43,-2.23,252.97,197.8337
26.09.2021,03:31:54,54.897519,35.015596,164.6,10.58514,98797.21,1.71,-2.5,252.35,202.9083
26.09.2021,03:31:55,54.8975184,35.015596,165.04,10.98922,98792.77,2.61,-2.96,251.9,208.2027
26.09.2021,03:31:55,54.8975177,35.0155961,165.49,11.84824,98783.37,2.47,-2.65,250.54,213.7082
26.09.2021,03:31:55,54.8975171,35.0155962,165.93,12.43317,98776.98,2.02,-2.67,250.03,216.5235
26.09.2021,03:31:55,54.8975166,35.0155965,166.41,12.63379,98774.76,2.96,-2.46,249.08,222.158
26.09.2021,03:31:55,54.897516,35.0155969,166.85,12.88246,98772.04,4.15,-2.24,248.56,228.0622
26.09.2021,03:31:56,54.8975154,35.0155972,167.32,13.43912,98765.96,4.97,-2.83,248.5,234.1481
26.09.2021,03:31:56,54.8975149,35.0155973,167.74,14.08621,98758.87,6.04,-0.39,249.44,240.2502
26.09.2021,03:31:56,54.8975145,35.0155976,168.18,14.82938,98750.73,5.77,-0.97,250.83,246.0901
26.09.2021,03:31:56,54.8975144,35.015598,168.63,14.4366,98755.01,4.91,-1.64,252.22,251.8743
26.09.2021,03:31:56,54.8975146,35.0155984,169.1,15.54146,98742.92,2.51,-3.9,252.82,257.6371
26.09.2021,03:31:57,54.8975149,35.0155989,169.58,15.43125,98744.13,0.81,-4.55,252.89,263.3527
26.09.2021,03:31:57,54.8975154,35.0155993,170.1,17.22841,98724.44,0.44,-4.15,252.37,269.166
26.09.2021,03:31:57,54.8975157,35.0155993,170.56,16.68022,98730.45,1,-2.28,251.51,274.9612
26.09.2021,03:31:57,54.8975158,35.015599,171.03,16.80455,98729.09,2.45,-1.3,250.55,280.6389
26.09.2021,03:31:57,54.8975158,35.0155986,171.49,17.4799,98721.69,2.23,-0.8,250.12,286.1377
26.09.2021,03:31:58,54.8975158,35.0155981,171.96,17.77095,98718.52,1.9,-2.14,249.59,288.8383
26.09.2021,03:31:58,54.8975158,35.0155978,172.42,18.63845,98709.02,2.38,-2.87,249.5,294.4738
26.09.2021,03:31:58,54.8975159,35.0155976,172.9,19.52007,98699.38,2.68,-3.3,249.44,300.3549
26.09.2021,03:31:58,54.8975161,35.0155973,173.36,19.39291,98700.77,3.5,-2.73,249.36,305.8443
26.09.2021,03:31:58,54.8975161,35.0155971,173.83,20.4017,98689.72,3.99,-1.85,249.2,311.3883
